date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-21,0.7370191853692045,-0.7785022438212561,2.437990165768624,45132656942
2025-03-22,0.6870418921427488,-1.0186890992792146,2.215037335573768,45132656942
2025-03-23,0.637064598916294,-0.9906392114393546,2.3488343639243707,45132656942
2025-03-24,0.5870873056898382,-1.1233799147212096,2.356895738118727,45132656942
2025-01-07,-2.7075462510676385,-6.462263243776479,1.1031275206076137,9629394497
2025-01-08,-2.50872345951026,-6.182969603350542,1.1693943555892332,9629394497
2025-01-09,-2.3356313246910423,-5.488450003304537,1.2601066028252033,9629394497
2025-01-10,-2.190514346821912,-5.873992855121249,1.283169074954967,9629394497
2025-01-11,-2.074335862821263,-5.509998515257643,1.4842361948198033,9629394497
2025-01-12,-1.9867793565987153,-5.485236392528126,1.2647055554095086,9629394497
2025-01-13,-1.926290802060307,-5.740812279385839,1.5113961098695297,9629394497
2025-01-14,-1.8901602564612539,-5.627019052344822,1.7422406409314646,9629394497
2025-01-15,-1.8746397858926747,-5.348813275640078,1.5232956799525175,9629394497
2025-01-16,-1.875093760610893,-5.738168925579704,1.6792255372964173,9629394497
2025-01-17,-1.886176634897339,-5.394581122278712,1.4685039152548929,9629394497
2025-01-18,-1.9020325494883759,-5.4203806101113905,1.8718809075993172,9629394497
2025-01-19,-1.9165104859762776,-5.641095304769148,1.6606864949730527,9629394497
2025-01-20,-1.9233882784655076,-5.537904034568711,1.7329761815333005,9629394497
2025-01-21,-1.9165985592768138,-5.719502676036156,1.6197464470310519,9629394497
2025-01-22,-1.8904496886985314,-5.500589391585741,1.4887632345151491,9629394497
2025-01-23,-1.8398348932764819,-5.342297318826991,1.838225845226927,9629394497
2025-01-24,-1.760423207564708,-5.5298183011659034,1.834688674074338,9629394497
2025-01-25,-1.6488263691690719,-5.0349788199728644,2.0838798286436435,9629394497
2025-01-26,-1.5027365400055697,-5.342956932641064,1.8277048980501243,9629394497
2025-01-27,-1.3210305967173603,-4.851927828139145,2.115954563119496,9629394497
